#Table1
objid,u,g,r,i,z,class,redshift,mjd
1237648705121747175,18.0294,17.15425,16.87729,16.61592,16.54666,GALAXY,0.06028418,51578
1237651203695116448,17.27938,15.50455,14.64715,14.19163,13.79359,GALAXY,0.05354707,51578
1237648704047546379,21.00878,18.90549,17.88396,17.41589,16.98518,GALAXY,0.109975,51578
1237651801771868404,19.24726,17.30749,16.29784,15.86491,15.54931,GALAXY,0.09581964,51581
1237648721218109603,18.38039,17.02025,16.38287,16.03368,15.77508,GALAXY,0.0695365,51581
1237648720701685952,20.50915,18.63227,17.71551,17.30176,16.98733,GALAXY,0.09100002,51585
1237648721238622326,20.48706,18.90289,17.79595,17.33059,16.99898,GALAXY,0.2316139,51585
1237648704046629060,20.01231,18.27888,17.35994,16.84805,16.46231,GALAXY,0.084496,51585
1237653663647334733,18.87259,17.75566,17.31867,17.06793,16.97463,GALAXY,0.02117685,51608
1237653663647662234,17.26423,16.0745,15.46077,15.06488,14.798,GALAXY,0.0629528,51608
1237648722826887397,20.46564,18.80675,17.76788,17.26944,16.9479,GALAXY,0.2092674,51608
1237648722826952883,17.38058,15.74086,14.92288,14.51746,14.16163,GALAXY,0.02726925,51608
1237648722827083931,19.24352,17.2606,16.23008,15.76121,15.38439,GALAXY,0.09866054,51608
1237648722827083960,17.84441,16.3426,15.67258,15.30615,15.0493,GALAXY,0.03480157,51608
1237648722827149457,20.16815,18.18172,17.19842,16.76282,16.38356,GALAXY,0.09359263,51608
1237648722827215020,18.30998,16.39885,15.44522,15.02465,14.67003,GALAXY,0.06144949,51608
1237648722827280442,17.17308,15.295,14.46127,14.04805,13.74491,GALAXY,0.02054176,51608
1237648722827280613,19.98718,18.57897,17.78783,17.28853,17.01412,GALAXY,0.08834895,51608
1237648722827280657,19.14367,17.45354,16.57049,16.12348,15.79759,GALAXY,0.06179937,51608
1237648722827280856,22.22803,21.3955,19.76717,18.90648,18.2335,GALAXY,0.5001665,51608
1237648722827346124,19.88029,17.93231,16.98097,16.54883,16.20587,GALAXY,0.06441984,51608
1237648722827346141,19.6962,17.79824,16.81899,16.32304,15.92651,GALAXY,0.06324172,51608
1237648722827346152,18.95387,16.9544,15.98638,15.52592,15.15781,GALAXY,0.06204342,51608
1237648722827346065,16.23198,14.65591,13.88862,13.49842,13.18626,GALAXY,0.0202142,51608
1237648722827346177,19.53428,17.69969,16.82242,16.41954,16.08924,GALAXY,0.06410416,51608
1237648722827411667,19.47961,18.2111,17.73489,17.45324,17.27854,GALAXY,0.06287378,51608
1237648722827411689,18.87417,17.68511,17.20201,16.88101,16.68023,GALAXY,0.04833083,51608
1237648722827411714,17.40323,15.82805,15.12934,14.72407,14.4366,GALAXY,0.04823616,51608
1237648722827411740,19.08907,18.0723,17.70917,17.43162,17.29718,GALAXY,0.09863139,51608
1237648722827477612,23.37113,21.23519,19.28134,18.62178,18.08401,GALAXY,0.3824959,51608
1237648722827608227,18.8655,17.90229,17.48503,17.15401,17.09062,GALAXY,0.1247545,51608
1237648722827477169,22.65036,20.5676,18.96754,18.34735,18.00768,GALAXY,0.2812415,51608
1237648722827477226,20.23008,18.48239,17.67311,17.24513,16.96419,GALAXY,0.09367687,51608
1237648720142598416,19.19269,17.52832,16.64588,16.14556,15.77973,GALAXY,0.06685378,51608
1237648720142598466,18.95432,17.37096,16.53924,16.12479,15.81862,GALAXY,0.09214666,51608
1237648720142598523,21.21101,18.92085,17.65245,17.1453,16.75657,GALAXY,0.1674231,51608
1237648720142729268,19.75253,18.10907,24.79259,24.55175,16.38724,GALAXY,0.01946783,51608
1237648720142729338,20.57472,18.66595,17.7307,17.21704,16.85042,GALAXY,0.08000757,51608
1237648720142729396,20.55532,18.58385,17.56051,17.12363,16.73591,GALAXY,0.09133507,51608
1237648720142729411,19.20433,17.33888,16.36254,15.90504,15.55624,GALAXY,0.08097252,51608
1237648720142729437,19.51375,17.48923,16.47622,16.00013,15.62057,GALAXY,0.0824445,51608
