#Table1
objid,u,g,r,i,z,class,redshift,mjd
1237654670808907811,18.57509,18.56578,18.44351,18.44547,17.8798,QSO,0.3097312,51608
1237648720142663773,19.09151,18.94086,18.87791,18.83844,18.30987,QSO,0.3555079,51608
1237648720142663801,20.24478,18.52651,17.67618,17.12465,16.81578,QSO,0.06720914,51608
1237648720142598249,18.94246,18.5843,18.40988,18.15714,18.20417,QSO,1.609856,51608
1237648720142860487,19.35334,19.17145,18.8534,18.77394,18.7916,QSO,1.14837,51608
1237648720143187986,18.93689,19.07687,18.73114,18.69877,18.70723,QSO,1.301314,51608
1237650795683709031,20.27892,19.95012,19.69613,24.3618,19.09018,QSO,3.211459,51608
1237650795683709103,18.3434,18.1663,18.0731,17.81621,17.78324,QSO,1.775525,51608
1237651799622156602,23.62176,25.53254,20.28185,23.75016,23.58629,QSO,0.2415861,51608
1237651800159813910,21.58824,20.26091,19.22899,18.92067,18.7536,QSO,1.287415,51608
1237651801233490042,19.57452,19.08915,18.91952,18.91562,18.91139,QSO,0.8849242,51608
1237651801769705923,21.99055,19.65457,19.48253,19.11993,22.82727,QSO,2.243463,51608
1237650795147231365,18.76646,18.68524,18.48629,18.47576,18.49041,QSO,1.384028,51608
1237650795147231560,19.88779,19.73297,19.25949,19.25278,19.26127,QSO,1.385627,51608
1237648720679665851,20.15858,19.6481,19.48976,19.0969,18.9876,QSO,1.891315,51608
1237648720679796790,19.87122,18.58357,17.65132,17.17373,16.81648,QSO,0.1378086,51608
1237648721216602444,21.90179,20.96321,20.24237,19.62778,19.37258,QSO,1.8664,51608
1237648721217192105,18.89431,18.5438,18.67751,18.43891,18.35556,QSO,0.5121477,51608
1237648722826952856,19.2282,19.0896,18.98833,18.7528,18.67974,QSO,1.813826,51608
1237650794609705073,19.72011,19.38508,19.08074,18.88288,18.82209,QSO,1.369275,51608
1237650797294453031,21.56815,20.74254,20.35323,20.11653,19.65811,QSO,0.8632774,51608
1237651752922382481,19.60811,19.20138,19.07581,19.00921,18.9464,QSO,0.6920985,51608
1237651752385511715,21.34374,20.6231,20.21978,19.7718,19.6464,QSO,0.6402417,51608
1237648722290409485,19.11004,18.90281,18.7216,18.47826,18.44559,QSO,0.5017995,51608
1237648722290868413,18.93802,18.53383,17.91109,17.45269,17.21952,QSO,0.1631241,51608
1237648722290868433,19.37101,19.27487,18.69215,18.29162,18.00461,QSO,2.017165,51608
1237650796220579874,18.80283,18.48472,18.32721,18.2451,18.04915,QSO,0.4218703,51608
1237650796220710992,18.96236,18.63603,18.57948,18.62663,18.52037,QSO,0.8751809,51608
1237650796220907565,19.32702,19.20819,18.92013,18.89787,18.90091,QSO,1.062692,51608
1237648721753210940,19.02503,18.8155,18.51251,18.30922,18.31968,QSO,1.487651,51608
1237648721753276854,22.33596,21.36879,20.82403,20.33718,20.21787,QSO,1.592156,51608
1237648721236262957,19.31881,18.95773,18.74758,18.64614,18.42416,QSO,2.078253,51609
1237648721236263118,19.99567,19.54963,19.15375,18.81244,18.53755,QSO,0.4914537,51609
1237648721236656189,19.26413,19.22556,19.00864,18.99608,19.18132,QSO,1.256723,51609
1237648721245896737,18.7241,18.57758,18.44054,18.27627,18.08403,QSO,2.038383,51609
1237648721246027796,19.1446,19.08,19.24598,19.03916,19.2352,QSO,1.837246,51609
1237648721246027989,19.22384,18.79353,18.89643,18.76992,18.6747,QSO,0.5133731,51609
1237648721246224604,19.41117,19.29383,19.01713,19.05431,19.28078,QSO,1.155889,51609
1237648721246289994,19.02961,19.00486,18.99023,18.74237,18.57038,QSO,1.861025,51609
1237648721246355684,19.69998,19.45094,18.95166,18.91086,18.99614,QSO,1.08132,51609
1237648721246486574,19.09122,18.72238,18.87547,18.94197,18.94868,QSO,0.6803448,51609
1237671762638602403,19.09602,19.06619,18.85344,18.79916,18.90671,QSO,1.395023,51609
1237671762638733394,19.07531,19.02902,18.90249,18.85435,18.82546,QSO,1.370847,51609
1237671762638536887,19.6937,19.48616,19.1881,19.1061,18.72709,QSO,1.041758,51609
1237671763176456212,19.59767,19.37185,19.32425,19.11909,19.13418,QSO,1.668741,51609
1237671763712540904,19.84559,19.38375,19.00053,19.1198,19.07421,QSO,1.058287,51609
1237671763712409678,18.43319,18.28101,18.30528,18.03033,18.11873,QSO,1.733884,51609
1237648721773068445,19.69479,19.35134,19.03754,18.75881,18.85816,QSO,1.553408,51609
1237648721773396235,18.85522,17.32976,16.63608,16.2192,15.957,QSO,0.07113216,51609
1237648721773527221,19.60199,19.359,19.26658,19.04832,19.054,QSO,1.537909,51609
1237648721773592615,19.3329,19.35631,19.04395,19.02196,19.07825,QSO,1.149803,51609
1237648721783029807,19.09017,18.97584,18.79669,18.6003,18.67051,QSO,1.495498,51609
1237648721783357688,19.50359,19.05445,18.84259,18.80569,18.76384,QSO,1.134462,51609
1237648722309939372,19.12646,18.971,18.87077,18.80032,18.85116,QSO,1.461207,51609
1237648722310332424,19.06658,18.87753,18.76509,18.54024,18.52854,QSO,1.508673,51609
1237671266033402211,20.9263,20.6383,20.31514,19.89201,19.97612,QSO,1.588674,51609
1237671266033860628,18.97607,18.91962,18.94279,18.71369,18.69621,QSO,1.792617,51609
1237671266033598603,18.49384,18.65517,18.64189,18.31974,18.22759,QSO,1.909746,51609
1237651752415002679,18.46709,18.29457,18.05707,18.10182,18.0808,QSO,1.12425,51609
1237648703506808877,19.08362,19.05172,19.00865,18.82044,18.58504,QSO,2.006084,51609
1237648703507726433,18.61312,18.43569,18.46032,18.4397,18.27295,QSO,0.426884,51609
1237648703507857436,19.17221,18.97789,18.78614,18.62279,18.50998,QSO,2.048804,51609
1237648703507857525,19.68926,19.16013,18.31945,17.82177,17.55043,QSO,0.2038532,51609
1237648704044400691,19.20954,18.93043,18.94948,18.90152,18.52991,QSO,0.4072759,51609
1237648704044400729,18.95937,19.03246,18.88218,18.98905,18.98962,QSO,1.12949,51609
1237648704054493214,19.12044,18.93948,18.75995,18.7219,18.55098,QSO,0.9095625,51609
1237674604290768917,18.31302,18.16655,18.01315,18.05818,17.97455,QSO,0.9664423,51609
1237674604290834596,19.20155,19.03405,19.04748,18.90399,18.86834,QSO,1.938112,51609
1237674604290834719,20.97088,20.29572,19.34557,19.0353,18.90339,QSO,1.299541,51609
1237674604290965691,19.26598,18.95565,18.79716,18.65329,18.65701,QSO,1.454884,51609
1237674603753832674,19.6125,19.34184,19.22783,19.01601,18.94352,QSO,1.609919,51609
1237674603753898151,19.56783,19.13442,18.4519,18.11251,17.79899,QSO,0.2537746,51609
1237671264423116852,17.94229,17.6341,17.25825,17.1363,17.12883,QSO,1.150787,51609
1237671264423378955,18.93942,18.71539,18.70797,18.54285,18.58898,QSO,1.560654,51609
1237671264959332443,17.58275,15.97273,15.26229,14.81068,14.55675,QSO,0.08880702,51609
1237671265497120805,18.9448,18.84096,18.85561,18.68248,18.61142,QSO,1.659236,51609
1237648702970593285,19.27777,19.22631,19.02135,18.9594,18.9914,QSO,1.361167,51609
1237648702970658854,19.25348,18.83999,19.0125,18.76279,18.62778,QSO,0.5266581,51609
1237648702979833866,18.51118,17.53802,16.29949,16.0286,15.81104,QSO,0.1479407,51609
1237650372098392216,20.13596,19.26538,18.47536,18.00212,17.7101,QSO,0.176894,51609
1237671764249870375,18.84566,18.68621,18.64022,18.44372,18.49501,QSO,1.665378,51609
1237648722847137940,19.40345,19.2933,19.3009,19.04346,18.97295,QSO,1.776838,51609
1237648722847137954,20.13563,19.52022,19.00943,18.7625,18.44361,QSO,2.166709,51609
1237648720709288109,20.91532,20.07315,19.27516,18.69485,18.23676,QSO,2.091645,51609
1237648720709419185,19.31883,19.1011,19.04179,18.78197,18.74646,QSO,1.56207,51609
1237648720709550262,19.67106,19.29823,18.93685,18.77781,18.30268,QSO,0.3648931,51609
1237648720698999040,19.85411,19.7343,19.72361,19.5132,19.41945,QSO,1.743491,51609
1237648704580747508,19.84685,19.50873,19.37335,19.54642,19.20246,QSO,0.8072227,51609
1237648704581009470,19.15716,19.04737,19.01089,18.73825,18.82606,QSO,1.642622,51609
1237648704581140621,19.79525,19.33256,18.99165,18.77126,18.58885,QSO,2.096637,51609
1237648704581271582,18.30884,17.87131,17.57342,17.498,17.31915,QSO,0.8776056,51609
1237648705127776429,19.00038,18.46169,18.35002,18.48469,18.4201,QSO,0.9287443,51609
1237648705127776440,18.91763,18.20245,18.17717,18.1769,18.28021,QSO,0.7263246,51609
1237648705127907471,19.3428,18.81997,18.77502,18.48443,18.53374,QSO,1.596405,51609
1237648720162324660,19.73189,19.44004,19.10165,19.01001,18.89155,QSO,1.022185,51609
1237648720162586770,19.44077,19.31905,19.20258,18.94231,18.92079,QSO,1.668544,51609
1237648720162586814,19.57805,18.3985,17.83779,17.48299,17.26271,QSO,3.209668,51609
1237648720162652341,20.05934,19.56103,19.17136,18.95842,18.95597,QSO,1.555031,51609
1237648720162849090,20.05448,19.86577,19.86803,19.6182,19.7071,QSO,1.698866,51609
1237648705655078972,18.57619,18.34449,18.19263,17.87797,17.92109,QSO,1.692793,51609
1237648705655144467,18.28997,17.99363,17.96142,18.11596,18.0014,QSO,0.7910432,51609
1237648705655144725,20.53641,20.44521,20.33719,20.24332,20.21538,QSO,1.184161,51609
1237648720171696155,18.44279,18.18892,18.08051,18.15056,17.96408,QSO,0.8201946,51609
1237648720171958550,19.86014,19.40308,19.34656,19.11116,19.11448,QSO,0.6675521,51609
1237648720172482710,19.55068,19.3298,19.21752,19.0206,19.09213,QSO,1.540834,51609
1237648720689955032,19.25748,19.19962,18.96415,18.89772,18.91018,QSO,1.409506,51612
1237674649388122227,19.75353,19.3166,19.1067,18.95593,18.64554,QSO,2.12207,51612
1237648722836914315,19.13093,18.07026,17.30418,16.81605,16.6439,QSO,0.1733614,51612
1237648722837176379,19.12714,18.82086,18.73674,18.69944,18.49331,QSO,0.7677653,51612
1237648722836848664,18.93216,18.79048,18.65605,18.51849,18.45394,QSO,0.4384994,51612
1237674650997686532,19.42211,19.18727,19.05482,18.81198,18.80168,QSO,1.510379,51612
1237674650998669450,19.33311,19.05926,18.9959,18.76971,18.62773,QSO,0.4879737,51612
1237674650998734893,18.8185,18.73768,18.46824,18.43852,17.96169,QSO,0.3199581,51612
1237674650998800404,18.98539,18.62246,18.69333,18.51575,18.52342,QSO,0.5492861,51612
1237674651534885016,20.37137,19.62551,19.1896,18.84286,18.65757,QSO,0.4961319,51612
1237674651535278399,25.74353,22.55156,20.23622,19.10785,18.95348,QSO,4.584631,51612
1237674651535343689,20.56441,20.12722,19.57948,19.34087,19.29523,QSO,1.310789,51612
1237674651535540418,19.17942,18.86144,18.86633,18.73783,18.74851,QSO,0.6246737,51612
1237674649924207213,23.06573,22.2244,21.1066,20.09649,19.55507,QSO,6.827977,51612
1237674650461798445,17.62951,17.61227,17.56019,17.29654,17.27067,QSO,1.692607,51612
1237674648850727021,19.17697,18.91302,18.70587,18.39845,18.3826,QSO,1.673141,51612
1237674648850792641,19.06054,18.81518,18.74494,18.59622,18.49784,QSO,1.765893,51612
1237648722300109016,19.92719,19.65396,19.14864,18.86141,18.39427,QSO,0.2870612,51612
1237648722300764235,19.20453,18.82073,18.72127,18.61108,18.51623,QSO,0.7120696,51612
1237648722300239934,18.34761,18.01036,17.95488,17.72458,17.74021,QSO,0.5463932,51612
1237648721762844776,19.5923,19.46248,19.39935,19.12521,19.21314,QSO,1.836237,51612
1237648721763696680,18.94461,18.87351,18.82595,18.58015,18.5551,QSO,1.869546,51612
1237648721763762346,19.62575,19.35249,19.06591,19.02596,19.07368,QSO,1.018601,51612
1237648721763762434,20.88127,19.42991,17.94091,17.59559,17.33961,QSO,0.2445746,51612
1237648721246552217,18.71855,18.35755,18.15001,18.16845,17.64531,QSO,0.3178933,51613
1237648721246880092,19.77331,19.51536,19.06577,18.86389,18.40357,QSO,0.3064879,51613
1237648721246945462,19.6824,19.51599,18.88758,18.59155,18.05841,QSO,0.3330181,51613
1237648721247207679,19.0425,18.41884,17.81388,17.35651,17.1349,QSO,0.1030941,51613
1237648721246879791,19.34609,19.19179,18.96123,18.91985,18.98302,QSO,1.352482,51613
1237651735236051177,19.10116,18.90547,18.79169,18.79073,18.77464,QSO,0.8399584,51613
1237651735236182095,25.26792,21.47828,20.44184,22.30418,19.44772,QSO,0.2898548,51613
1237648722320490527,18.17395,17.88287,17.83566,17.99129,17.91125,QSO,0.8969222,51613
1237648721783554162,18.90701,18.82458,18.59554,18.45602,17.90214,QSO,0.3257154,51613
1237648721784078676,17.57485,15.84286,14.92086,14.36317,14.10535,QSO,0.05460015,51613
1237648704054493630,21.57161,20.39253,19.82034,19.26343,19.06927,QSO,1.792327,51613
1237648704054558879,19.22522,19.15478,18.89501,18.76845,18.76245,QSO,1.375196,51613
1237648703517622402,19.55666,19.50379,19.18158,19.10172,19.20013,QSO,1.287488,51613
1237648703517687861,18.8744,17.72035,16.84579,16.36815,16.08838,QSO,0.1582861,51613
1237648703517753548,19.72153,19.22672,18.84083,18.41339,18.10336,QSO,0.567736,51613
1237648703517884465,18.99936,18.89125,18.90796,18.69446,18.73692,QSO,1.809132,51613
1237651752415461516,19.56642,19.22795,18.73494,18.60767,18.14371,QSO,0.295219,51613
1237651752415789209,19.06765,18.24486,17.55674,17.02431,17.0033,QSO,0.2195398,51613
1237651752415920189,18.21673,18.15019,17.90033,17.83749,17.82767,QSO,1.293137,51613
1237655693548257304,18.70613,18.50161,18.36569,18.20649,17.92697,QSO,2.131729,51613
1237648720709812268,21.36606,20.47328,20.09443,19.84185,19.63028,QSO,0.8536159,51613
1237648720709812332,17.97803,17.75175,17.54927,17.48601,17.44215,QSO,1.071825,51613
1237648705128104998,24.27192,22.2751,22.96885,21.80683,20.82484,QSO,4.074821,51613
1237648705128956067,20.00314,19.50919,19.2181,18.8028,18.52714,QSO,2.00288,51613
1237648705128628431,19.45987,19.41481,18.97125,18.88685,18.95975,QSO,1.259974,51613
1237648704592150714,20.09449,19.66859,19.01394,18.56301,18.40193,QSO,1.845623,51613
1237648720172679178,18.57936,18.35696,18.2226,18.15683,17.98657,QSO,2.068869,51613
1237648720172875854,18.46124,18.01889,17.93883,17.95387,18.06288,QSO,1.561184,51613
1237648720172745195,21.6118,20.92115,20.1091,19.62698,19.15981,QSO,0.3911292,51613
1237648720172745241,20.94416,20.61321,20.11082,19.9076,19.43883,QSO,0.3203688,51613
1237648720172810301,19.21671,18.9325,18.60275,18.536,18.5795,QSO,1.155211,51613
