#Table1
objid,u,g,r,i,z,class,redshift,mjd
1237654670272036870,18.75909,17.62951,17.23588,17.07592,17.06839,STAR,3.180645E-05,51608
1237648722827214963,15.47201,15.57497,15.90389,16.16473,16.41831,STAR,2.953473E-05,51608
1237648722827018510,24.02062,21.08169,19.79842,19.29272,18.92611,STAR,0.0001075041,51608
1237648722827542622,18.8099,17.94278,17.70672,17.59936,17.58234,STAR,0.0004529761,51608
1237651752922447882,17.86744,17.83661,18.22575,18.49767,18.74954,STAR,0.0001760774,51608
1237650795146772611,19.92295,18.63192,17.99677,17.829,17.67813,STAR,-0.000107002,51608
1237650795146707159,19.33003,18.10579,17.62681,17.47341,17.42379,STAR,9.934753E-05,51608
1237650795147034650,18.987,17.66152,17.23423,17.0581,16.97153,STAR,0.0003561869,51608
1237650795683577872,17.31503,16.01691,15.49243,15.29128,15.19943,STAR,-9.755677E-05,51608
1237650795684167831,17.72202,16.56575,16.15912,15.99926,15.95605,STAR,0.0003602553,51608
1237648720142729345,18.1613,17.03791,16.63783,16.51234,16.4349,STAR,0.0004456736,51608
1237648720143122475,19.17664,18.8283,18.88975,18.99784,19.1014,STAR,0.0001417175,51608
1237648720143188043,18.49726,17.37068,16.97899,16.84624,16.80118,STAR,0.0004589118,51608
1237650797294190659,18.48567,17.23497,16.73623,16.56257,16.50287,STAR,0.0001322047,51608
1237650797294321708,23.15673,20.16103,18.82322,18.1648,17.8949,STAR,0.0001808972,51608
1237651799622549759,22.58308,20.19563,18.79206,18.19383,17.81592,STAR,6.838652E-05,51608
1237651799622680623,19.64516,18.46974,17.96894,17.93103,17.75591,STAR,0.0002441445,51608
1237651800696684677,16.84267,15.38513,14.86922,14.71534,14.67066,STAR,-1.568407E-05,51608
1237651801769967640,18.24132,16.70968,16.09472,15.86202,15.76519,STAR,-1.182113E-05,51608
1237651801769967698,18.79104,17.69725,17.5851,17.58982,17.65203,STAR,0.001209172,51608
1237651801770230027,22.19682,19.53899,18.02059,17.1968,16.72172,STAR,-4.179206E-05,51608
1237654669198295120,21.56305,19.2012,17.76762,17.11802,16.75748,STAR,0.0001006776,51608
1237648721752948868,19.35893,17.89577,17.24237,16.99044,16.85701,STAR,-5.466048E-05,51608
1237648721753342016,18.17326,17.10972,16.73453,16.57569,16.48905,STAR,0.0009098107,51608
1237648721753669788,19.797,18.65518,18.57625,18.59319,18.59579,STAR,1.521532E-05,51608
1237648721753735225,18.5513,17.5738,17.32834,17.29379,17.24489,STAR,0.0006163775,51608
1237648721753800838,18.20682,17.03266,16.59724,16.39196,16.30338,STAR,-0.0001195583,51608
1237651752386035760,18.71851,17.75764,17.41603,17.27969,17.27299,STAR,8.181729E-05,51608
1237648722289819705,18.51254,17.12438,16.53009,16.29596,16.16014,STAR,-3.738093E-05,51608
1237648722290540752,21.85774,19.19735,17.9402,17.4306,17.23153,STAR,7.043976E-05,51608
1237650794609770746,22.89167,19.8391,18.35078,17.72533,17.37808,STAR,0.0001186718,51608
1237650794609967319,22.08754,19.27412,17.8539,16.9868,16.50531,STAR,0.0001258202,51608
1237650796220645482,18.42059,18.48429,18.83872,19.11143,19.35358,STAR,-0.0001549117,51608
1237650796757319805,19.51472,18.20191,17.63909,17.40331,17.28823,STAR,-0.0001056808,51608
1237648720679731206,17.6466,16.46979,16.05476,15.90236,15.79842,STAR,0.0002479524,51608
1237648720679731356,20.14039,19.02472,18.90889,18.94321,18.95576,STAR,0.0002325052,51608
1237648721216864346,17.55001,16.26476,15.71965,15.58172,15.51661,STAR,6.80852E-05,51608
1237648720698802248,18.61066,17.62136,17.31408,17.20309,17.21114,STAR,3.521494E-05,51609
1237648720699064428,20.49223,19.21841,19.30551,19.32356,19.40987,STAR,0.0006149258,51609
1237648720699588671,15.65118,14.38269,14.58572,14.75217,14.83824,STAR,0.0007269129,51609
1237648720709484690,18.55446,16.44231,15.59474,15.29257,15.13206,STAR,-0.0001181832,51609
1237648720709484788,19.84742,18.31657,17.69913,17.49581,17.38239,STAR,1.461873E-05,51609
1237648720709484823,20.3884,19.04072,18.99417,18.92906,18.93062,STAR,-0.000492595,51609
1237671264423182575,19.81154,18.65155,18.79995,18.95033,19.07692,STAR,0.0002473463,51609
1237671264423313548,20.72556,20.29938,20.4061,19.92033,19.33579,STAR,-0.0004938501,51609
1237671264423379122,19.60362,18.69613,18.42577,18.31043,18.34775,STAR,0.0003921559,51609
1237671264423510847,23.81439,23.30587,22.03627,19.36846,17.89883,STAR,0.0001037849,51609
1237671264959267014,20.27843,18.31041,17.5282,17.26855,17.0752,STAR,8.812916E-05,51609
1237671264959332371,17.9647,16.70865,16.71223,16.72255,16.787,STAR,0.0008136645,51609
1237671264959987855,19.82959,19.70484,20.09874,20.41717,20.65389,STAR,0.0002206916,51609
1237671264959922194,18.62467,17.36865,17.06823,16.98295,16.96327,STAR,-0.000200423,51609
1237671264960315394,18.3515,17.11313,16.73633,16.59361,16.5519,STAR,-2.168471E-05,51609
1237671264960315462,18.1268,17.01175,17.14451,17.25584,17.37681,STAR,0.0009768133,51609
1237671265497120869,19.50111,19.34632,19.65745,19.94909,20.18668,STAR,0.0001017898,51609
1237671265496137805,18.89493,17.81489,17.72155,17.76129,17.78257,STAR,0.0001245609,51609
1237674604290310229,18.92506,17.96268,17.80139,17.75659,17.73248,STAR,-0.0005529916,51609
1237674604290638024,19.28277,18.89438,19.14293,19.39136,19.85484,STAR,-0.0001880261,51609
1237674604290834599,19.41822,18.3411,18.06466,17.99501,17.99145,STAR,0.0005023686,51609
1237674604290900040,18.47471,17.45835,17.16481,17.05783,17.04192,STAR,-0.000182962,51609
1237674604290900255,25.38482,24.43501,22.63612,21.57346,19.06541,STAR,3.624257E-05,51609
1237671266033860789,20.32641,19.41006,19.26976,19.26075,19.30853,STAR,-0.0004979931,51609
1237648721772609609,17.90085,16.98141,16.73232,16.64683,16.64726,STAR,0.0002968975,51609
1237648721772806232,17.42481,16.21079,16.19226,16.23831,16.27831,STAR,0.0001696706,51609
1237648721772937333,19.85956,18.37123,17.782,17.56043,17.44112,STAR,0.0001217931,51609
1237648721773068556,19.92155,18.81025,18.79485,18.85996,18.90303,STAR,0.0005598088,51609
1237648721773395986,18.70781,17.81871,17.53736,17.40917,17.36599,STAR,0.0004877588,51609
1237648721782440010,18.63208,17.60453,17.24276,17.11619,17.06962,STAR,-3.867907E-05,51609
1237648721783226445,18.18068,17.28596,17.01071,16.93584,16.92726,STAR,5.919121E-05,51609
1237648722310070453,22.38121,19.41381,17.48604,17.27391,16.58872,STAR,-7.191211E-05,51609
1237648722319442048,18.02868,17.07422,16.79792,16.70175,16.65968,STAR,0.0001602692,51609
1237648722319573173,19.67233,18.7074,18.5072,18.43951,18.39741,STAR,0.000196898,51609
1237648722319638534,18.47736,17.51768,17.2074,17.10454,17.05848,STAR,3.062605E-05,51609
1237648722319901060,20.08332,18.83582,18.78596,18.74901,18.80861,STAR,-0.0001397093,51609
1237648721236000785,19.35961,18.24104,18.26696,18.34861,18.45897,STAR,-0.0004474312,51609
1237648721236328452,19.03896,17.92929,17.91996,17.96646,18.01418,STAR,0.000578072,51609
1237648721236328554,18.76062,17.69166,17.32538,17.20066,17.13358,STAR,-0.0001327198,51609
1237648721236198202,21.62593,21.15326,18.65774,18.9051,18.2614,STAR,-0.00387613,51609
1237648721236590619,17.09467,15.83471,15.39256,15.21796,15.1716,STAR,3.89327E-05,51609
1237648721236656217,20.36736,18.08817,16.75131,16.05862,15.59387,STAR,0.0001672617,51609
1237648721245503515,17.75174,16.51389,16.07113,15.91344,15.85771,STAR,-1.907306E-06,51609
1237648721245831220,18.69795,18.39704,18.6714,18.94692,19.25657,STAR,-0.0001383952,51609
1237648721246027951,18.54934,17.35862,16.84693,16.60999,16.46803,STAR,0.0002939022,51609
1237648721246486584,17.28967,16.08729,15.67337,15.50181,15.43594,STAR,-0.0002624892,51609
1237648721246486750,20.78362,19.80212,19.22431,19.28634,19.19786,STAR,0.0005502659,51609
1237648704580878552,25.18996,23.24734,21.391,18.63424,17.02914,STAR,-0.0001032708,51609
1237648704581730344,18.74307,17.79867,17.49358,17.38617,17.37844,STAR,-4.646723E-05,51609
1237648704590774484,19.36202,18.20687,17.81854,17.69025,18.00739,STAR,-6.880978E-05,51609
1237648704590840104,19.36457,18.2826,17.96512,17.83189,18.25108,STAR,-0.0001742194,51609
1237648704591233079,21.64759,18.83982,17.66191,16.78678,16.34439,STAR,-3.236756E-05,51609
1237648704591233095,17.91306,17.03726,16.40236,16.37411,16.17758,STAR,0.0001131749,51609
1237648704591233112,18.9573,17.44931,16.65409,16.51495,16.20874,STAR,-7.255525E-05,51609
1237648705118077166,20.28075,20.06549,20.37447,20.63348,20.99765,STAR,0.0002584288,51609
1237648705118142605,18.68018,17.70426,17.47326,17.37416,17.36843,STAR,0.0003859353,51609
1237648705118208078,17.57911,16.6381,16.36195,16.25419,16.21042,STAR,0.0002930254,51609
1237648705118273556,17.58608,16.30043,16.43203,16.53785,16.59253,STAR,-0.0002173676,51609
1237648705127120948,18.93657,17.76575,17.32153,17.17787,17.11163,STAR,-0.0001580133,51609
1237648705127448627,17.73579,16.6547,16.28872,16.17036,16.12519,STAR,5.669787E-05,51609
1237648705127448695,19.92922,18.30404,17.62297,17.36617,17.22321,STAR,6.071724E-05,51609
1237648705127514174,18.12384,17.35363,16.98383,16.886,16.85861,STAR,-8.767498E-05,51609
1237648705127514427,23.58565,20.99357,19.12436,18.03403,17.41894,STAR,1.393814E-05,51609
1237648705127710772,18.89051,17.42338,16.85839,16.64739,16.94267,STAR,-0.0001317404,51609
1237648705127710901,20.5082,19.01498,18.46701,18.22556,18.66881,STAR,-0.0003184545,51609
1237648705127841929,19.7226,18.01526,17.74782,17.4817,17.44327,STAR,-0.0001417565,51609
1237648705127841939,19.8006,18.31615,18.13221,18.0604,18.07895,STAR,-0.0002903506,51609
1237648705127710944,20.37558,18.34279,17.50369,17.19184,17.37693,STAR,0.0002928957,51609
1237648705127776299,24.58954,23.84719,20.9666,19.97161,20.20874,STAR,-0.0002559601,51609
1237648705127907571,21.49826,18.62246,17.22141,16.57613,15.94481,STAR,-0.0001269457,51609
1237648705128038622,21.43349,18.96178,17.66862,16.48303,15.89982,STAR,0.000126296,51609
1237648705128103969,18.16379,17.15495,16.71074,16.43585,16.20527,STAR,-0.0001514552,51609
1237648705128103973,17.37073,16.3829,15.80287,15.70182,15.47991,STAR,-0.0003111906,51609
1237648705128103978,17.50026,16.70191,16.27915,16.1204,15.90042,STAR,0.0001692139,51609
1237648705128103942,17.73281,16.72213,16.32467,16.10622,15.91971,STAR,-0.0002771017,51609
1237648705128103945,17.8552,16.68947,16.07681,15.78638,15.51808,STAR,-0.0004168184,51609
1237648705128104025,18.74431,17.55773,17.02598,16.62839,16.32056,STAR,-0.0007767853,51609
1237648705128104041,18.20939,17.15013,16.47498,16.38424,16.1266,STAR,-8.826284E-05,51609
1237648705128104047,20.519,18.21004,17.15605,16.57279,16.19066,STAR,-4.499619E-05,51609
1237648705128104164,19.55217,18.32304,17.86943,17.46306,17.21727,STAR,-8.105292E-05,51609
1237648705128169523,18.30695,17.20673,16.79316,16.5725,16.3738,STAR,-0.0001336622,51609
1237648705128169557,18.83681,17.87778,17.62745,17.37776,17.26884,STAR,-0.0005264996,51609
1237648705128169562,19.04916,16.881,16.0105,15.76395,15.52504,STAR,-0.000112271,51609
1237648705128169568,17.97028,16.95976,16.55526,16.34813,16.20068,STAR,1.359546E-05,51609
1237648705128169588,19.09249,17.18096,16.45876,16.1816,16.01656,STAR,8.429565E-05,51609
1237648705128169604,21.13055,18.64181,17.45165,16.45945,15.84242,STAR,-4.938967E-06,51609
1237648705128169609,20.21544,17.88041,17.01972,16.60104,16.28264,STAR,6.464774E-05,51609
1237648705128169667,21.10148,18.78361,17.4994,16.36557,15.72791,STAR,-5.201738E-05,51609
1237648705128169685,20.84566,18.41924,17.10934,16.28362,15.80358,STAR,7.61843E-05,51609
1237648705128169648,19.47722,17.74906,17.11098,16.75935,16.551,STAR,0.0001026196,51609
